bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,tahun,periode_bulan,angka_garis_kemiskinan,satuan
11,Aceh,1101,Kabupaten Simeulue,2005,September,181102,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2005,September,168566,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2005,September,172427,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2005,September,145487,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2005,September,193755,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2005,September,213832,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2005,September,221402,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2005,September,250416,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2005,September,209216,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2005,September,168496,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2005,September,164343,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2005,September,147016,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2005,September,198398,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2005,September,183064,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2005,September,204919,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2005,September,182677,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2005,September,207813,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2005,September,,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2005,September,276736,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2005,September,195493,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2005,September,132703,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2005,September,150486,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2005,September,,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2006,September,201689,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2006,September,191539,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2006,September,186227,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2006,September,151263,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2006,September,210094,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2006,September,232783,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2006,September,265514,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2006,September,259910,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2006,September,232598,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2006,September,186844,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2006,September,177098,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2006,September,176979,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2006,September,201566,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2006,September,196461,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2006,September,235306,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2006,September,200165,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2006,September,233786,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2006,September,,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2006,September,317435,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2006,September,256447,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2006,September,157377,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2006,September,166202,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2006,September,,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2007,September,216518,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2007,September,208087,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2007,September,196167,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2007,September,155423,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2007,September,221862,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2007,September,246435,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2007,September,297287,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2007,September,266749,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2007,September,249440,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2007,September,200060,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2007,September,186286,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2007,September,198562,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2007,September,203848,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2007,September,206110,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2007,September,257193,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2007,September,212762,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2007,September,252495,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2007,September,228601,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2007,September,346750,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2007,September,300351,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2007,September,175149,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2007,September,177523,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2007,September,166693,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2008,September,253123,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2008,September,213997,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2008,September,203761,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2008,September,165925,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2008,September,256739,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2008,September,283307,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2008,September,335955,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2008,September,285876,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2008,September,277688,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2008,September,214801,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2008,September,218970,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2008,September,231460,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2008,September,231260,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2008,September,240753,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2008,September,288593,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2008,September,215382,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2008,September,272217,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2008,September,274078,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2008,September,362992,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2008,September,310697,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2008,September,199628,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2008,September,194884,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2008,September,168953,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2009,September,255471,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2009,September,257778,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2009,September,236741,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2009,September,170569,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2009,September,264671,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2009,September,305619,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2009,September,341606,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2009,September,308440,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2009,September,312476,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2009,September,242576,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2009,September,229559,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2009,September,231758,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2009,September,232481,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2009,September,274295,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2009,September,294493,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2009,September,254156,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2009,September,274560,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2009,September,309857,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2009,September,414172,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2009,September,368637,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2009,September,248283,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2009,September,246539,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2009,September,201149,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2010,September,278023,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2010,September,280534,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2010,September,257640,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2010,September,185626,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2010,September,288036,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2010,September,332598,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2010,September,371762,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2010,September,324096,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2010,September,328337,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2010,September,263990,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2010,September,249824,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2010,September,252217,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2010,September,253004,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2010,September,298509,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2010,September,320490,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2010,September,267057,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2010,September,298798,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2010,September,337211,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2010,September,435195,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2010,September,401180,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2010,September,270201,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2010,September,268303,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2010,September,218906,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2011,September,300467,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2011,September,304414,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2011,September,278854,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2011,September,201449,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2011,September,312927,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2011,September,360044,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2011,September,402636,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2011,September,351800,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2011,September,355618,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2011,September,286617,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2011,September,271150,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2011,September,274089,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2011,September,275000,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2011,September,322629,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2011,September,346154,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2011,September,291333,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2011,September,322853,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2011,September,365477,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2011,September,477669,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2011,September,438111,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2011,September,293333,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2011,September,290838,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2011,September,238423,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2012,September,303138,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2012,September,308917,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2012,September,281158,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2012,September,203116,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2012,September,316131,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2012,September,365375,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2012,September,407442,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2012,September,352112,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2012,September,359367,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2012,September,289058,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2012,September,273334,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2012,September,276324,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2012,September,277250,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2012,September,328599,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2012,September,349550,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2012,September,296921,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2012,September,325576,Rupiah/Kapita/Bulan
11,Aceh,1118,Kabupaten Pidie Jaya,2012,September,369440,Rupiah/Kapita/Bulan
11,Aceh,1171,Kota Banda Aceh,2012,September,485543,Rupiah/Kapita/Bulan
11,Aceh,1172,Kota Sabang,2012,September,443848,Rupiah/Kapita/Bulan
11,Aceh,1173,Kota Langsa,2012,September,296195,Rupiah/Kapita/Bulan
11,Aceh,1174,Kota Lhokseumawe,2012,September,293348,Rupiah/Kapita/Bulan
11,Aceh,1175,Kota Subulussalam,2012,September,240118,Rupiah/Kapita/Bulan
11,Aceh,1101,Kabupaten Simeulue,2013,September,305600,Rupiah/Kapita/Bulan
11,Aceh,1102,Kabupaten Aceh Singkil,2013,September,316319,Rupiah/Kapita/Bulan
11,Aceh,1103,Kabupaten Aceh Selatan,2013,September,283446,Rupiah/Kapita/Bulan
11,Aceh,1104,Kabupaten Aceh Tenggara,2013,September,206797,Rupiah/Kapita/Bulan
11,Aceh,1105,Kabupaten Aceh Timur,2013,September,319392,Rupiah/Kapita/Bulan
11,Aceh,1106,Kabupaten Aceh Tengah,2013,September,370670,Rupiah/Kapita/Bulan
11,Aceh,1107,Kabupaten Aceh Barat,2013,September,413061,Rupiah/Kapita/Bulan
11,Aceh,1108,Kabupaten Aceh Besar,2013,September,352451,Rupiah/Kapita/Bulan
11,Aceh,1109,Kabupaten Pidie,2013,September,361707,Rupiah/Kapita/Bulan
11,Aceh,1110,Kabupaten Bireuen,2013,September,292308,Rupiah/Kapita/Bulan
11,Aceh,1111,Kabupaten Aceh Utara,2013,September,274799,Rupiah/Kapita/Bulan
11,Aceh,1112,Kabupaten Aceh Barat Daya,2013,September,283117,Rupiah/Kapita/Bulan
11,Aceh,1113,Kabupaten Gayo Lues,2013,September,279420,Rupiah/Kapita/Bulan
11,Aceh,1114,Kabupaten Aceh Tamiang,2013,September,331218,Rupiah/Kapita/Bulan
11,Aceh,1115,Kabupaten Nagan Raya,2013,September,353231,Rupiah/Kapita/Bulan
11,Aceh,1116,Kabupaten Aceh Jaya,2013,September,303209,Rupiah/Kapita/Bulan
11,Aceh,1117,Kabupaten Bener Meriah,2013,September,327652,Rupiah/Kapita/Bulan
